ticker,name,sector,industry,weight,change
SBUX,Starbucks,Consumer Discretionary,Restaurants,0.2,
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0.2,
O'Reilly Auto Parts,O'Reilly Auto Parts,Consumer Discretionary,Other,0.1,
NKE,"Nike,",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.1,
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0.1,
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0.1,
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0.1,
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,0.1,
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,0.1,
DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,0.1,
AZO,AutoZone,Consumer Discretionary,Automotive Retail,0.1,
TGT,Target,Consumer Discretionary,Consumer Staples Merchandise Retail,0.1,
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,0.1,
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,0.1,
YUM,Yum! Brands,Consumer Discretionary,Restaurants,0.1,
Carvana Co.,Carvana Co.,Consumer Discretionary,Other,0.1,
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,0.1,
EBAY,eBay,Consumer Discretionary,Broadline Retail,0.1,
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,0.1,
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,0.1,
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0.1,
EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0.1,
TPR,"Tapestry,",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.1,
DG,Dollar General,Consumer Discretionary,Consumer Staples Merchandise Retail,0.1,
TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,0.04,
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,0.04,
ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,0.04,
PHM,PulteGroup,Consumer Discretionary,Homebuilding,0.04,
WSM,Williams-Sonoma,Consumer Discretionary,Homefurnishing Retail,0.04,
LEN,Lennar,Consumer Discretionary,Homebuilding,0.04,
RL,Ralph Lauren,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.03,
NVR,"NVR,",Consumer Discretionary,Homebuilding,0.03,
LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.03,
GPC,Genuine Parts Company,Consumer Discretionary,Distributors,0.03,
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,0.02,
DECK,Deckers Brands,Consumer Discretionary,Footwear,0.02,
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,0.02,
HAS,Hasbro,Consumer Discretionary,Leisure Products,0.02,
DPZ,Domino's,Consumer Discretionary,Restaurants,0.02,
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,0.02,
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,0.02,
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0.01,
POOL,Pool,Consumer Discretionary,Distributors,0.01,
Lilly (Eli),Lilly (Eli),Health Care,Other,1.4,
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,1,
ABBV,AbbVie,Health Care,Biotechnology,0.7,
MRK,Merck & Co.,Health Care,Pharmaceuticals,0.5,
UNH,UnitedHealth Group,Health Care,Managed Health Care,0.4,
AMGN,Amgen,Health Care,Biotechnology,0.3,
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,0.3,
ABT,Abbott Laboratories,Health Care,Health Care Equipment,0.3,
GILD,Gilead Sciences,Health Care,Biotechnology,0.3,
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,0.3,
PFE,Pfizer,Health Care,Pharmaceuticals,0.3,
DHR,Danaher,Health Care,Life Sciences Tools & Services,0.2,
SYK,Stryker,Health Care,Health Care Equipment,0.2,
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,0.2,
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,0.2,
MDT,Medtronic,Health Care,Health Care Equipment,0.2,
MCK,McKesson,Health Care,Health Care Distributors,0.2,
HCA,HCA Healthcare,Health Care,Health Care Facilities,0.2,
BSX,Boston Scientific,Health Care,Health Care Equipment,0.2,
CVS,CVS Health,Health Care,Health Care Services,0.2,
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,0.1,
CI,Cigna,Health Care,Health Care Services,0.1,
ELV,Elevance Health,Health Care,Managed Health Care,0.1,
COR,Cencora,Health Care,Health Care Distributors,0.1,
ZTS,Zoetis,Health Care,Pharmaceuticals,0.1,
CAH,Cardinal Health,Health Care,Health Care Distributors,0.1,
