ticker,name,sector,industry,weight,return_1d,return_ytd,return_1y,return_5y,return_10y
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,0.3,0.4357,5.3553,27.9960,156.2803,378.3025
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0.2,-1.2447,-11.2788,4.4502,105.9300,257.7080
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,0.2,-0.0874,4.7560,17.1546,35.7194,294.8183
SBUX,Starbucks,Consumer Discretionary,Restaurants,0.2,-0.4001,19.0384,25.5805,-3.9186,101.9552
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0.2,0.0423,22.1056,73.1611,176.6810,511.8835
ORLY,O'Reilly Auto Parts,Consumer Discretionary,Automotive Retail,0.1,-0.4162,2.3133,0.6399,161.0252,411.6602
NKE,"Nike,",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.1,0.1195,-27.1843,-15.2770,-60.8876,-11.8233
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0.1,0.6005,4.9219,26.3531,-16.0229,
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0.1,-2.4415,0.3850,46.6632,251.4418,295.1912
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0.1,0.6231,19.5185,63.4154,184.4227,699.8961
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,0.1,1.1369,28.1779,66.6609,94.9293,342.8480
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,0.1,-0.7747,-0.5398,82.8828,50.3123,208.4379
DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,0.1,1.8679,-17.2886,3.3573,29.7712,
AZO,AutoZone,Consumer Discretionary,Automotive Retail,0.1,-0.1086,5.2189,-0.9705,135.6830,359.2369
TGT,Target,Consumer Staples,Consumer Staples Merchandise Retail,0.1,1.3728,33.9264,45.5619,-27.6912,110.8165
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,0.1,-0.5276,-1.3662,39.7692,48.9548,58.8440
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,0.1,-0.1197,32.1783,42.4352,115.1791,713.9745
YUM,Yum! Brands,Consumer Discretionary,Restaurants,0.1,0.0092,8.1143,15.7892,51.4685,228.1885
CVNA,Carvana Co.,Consumer Discretionary,Automotive Retail,0.1,0.7496,-7.4842,84.6814,48.6635,
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,0.1,0.5791,-2.6014,-25.1868,17.6089,293.4225
EBAY,eBay,Consumer Discretionary,Broadline Retail,0.1,0.6020,21.2766,61.1267,85.9607,381.3161
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,0.1,0.7877,5.1313,25.9966,72.6886,437.1329
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,0.1,-0.5725,-11.4933,78.5240,2.1927,41.5288
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0.1,-1.1122,-4.9490,61.3595,12.8638,-33.9770
